iter	Logloss	Accuracy
0	0.4387456555	0.9475278395
1	0.3181223828	0.9473412776
2	0.2510765243	0.9482944591
3	0.2158975093	0.9484842377
4	0.1926081351	0.9486590055
5	0.1758098232	0.9487565752
6	0.1655195802	0.9488455674
7	0.1580273013	0.9488423509
8	0.1533144597	0.9489753031
9	0.1503833024	0.9489978192
10	0.1486261074	0.9490203353
11	0.147160003	0.9490181909
12	0.1461775007	0.9490492845
13	0.1452814858	0.9491425655
14	0.1447505986	0.9491983197
15	0.1440986387	0.9492733733
16	0.1435784737	0.9493130445
17	0.1433786862	0.9494063255
18	0.1430874847	0.9494191919
19	0.1428338783	0.9494224085
20	0.1426413316	0.9494631519
21	0.1423388195	0.949518906
22	0.1422139614	0.9495307002
23	0.1420889135	0.9495564328
24	0.1419760416	0.9495778768
25	0.1417339246	0.949622909
26	0.1416237914	0.9496572192
27	0.1415189744	0.9497258397
28	0.1413947321	0.9497676553
29	0.1413191803	0.9497697997
30	0.1412162824	0.9497848104
31	0.1411312638	0.9497912436
32	0.1410334757	0.9497901714
33	0.1409812083	0.9498244816
34	0.1409107966	0.9498437812
35	0.1408531124	0.9498695138
36	0.1407736351	0.9498834524
37	0.1406900034	0.9499016797
38	0.1406451538	0.9499220514
39	0.1405929316	0.9499295568
40	0.1405023725	0.9499617226
41	0.140461135	0.9499703002
42	0.1404081531	0.9499788778
43	0.1403459794	0.9499788778
44	0.1403160631	0.9499778056
45	0.1402923923	0.9499799499
46	0.1402578358	0.9499917441
47	0.1402138054	0.9500035382
48	0.1401298353	0.9500142602
49	0.1400827391	0.9500378485
50	0.139992358	0.9500378485
51	0.1399411546	0.9500442817
52	0.1399112705	0.9500550036
53	0.1398648597	0.950057148
54	0.1398251259	0.9500528592
55	0.1397925351	0.9500550036
56	0.139757355	0.9500635812
57	0.139722178	0.95011183
58	0.1396322859	0.950106469
59	0.1396031162	0.9501150465
60	0.1395753273	0.9501332739
61	0.1395443115	0.9501493568
62	0.1395192708	0.9501622231
63	0.139477977	0.9501686563
64	0.1394439319	0.9501718729
65	0.1394144827	0.9501761617
66	0.1393823297	0.9501772339
67	0.1393543755	0.9501976056
68	0.1393331846	0.9502008222
69	0.1393163256	0.9502008222
70	0.1392976561	0.9502179773
71	0.1392774143	0.9502201217
72	0.1392598963	0.9502169051
73	0.1392268232	0.9502169051
74	0.1391886767	0.9502297714
75	0.139161845	0.9502169051
76	0.1391368223	0.9502501431
77	0.1391147499	0.9502597929
78	0.1390962943	0.9502512153
79	0.1390723444	0.9502630095
80	0.1390490174	0.95024371
81	0.139030011	0.9502479987
82	0.1390015759	0.9502544319
83	0.1389864353	0.9502501431
84	0.1389590992	0.9502683705
85	0.1389381192	0.9502737314
86	0.1389209781	0.9502672983
87	0.1389093532	0.9502737314
88	0.1388886794	0.95028767
89	0.1388744302	0.9502973197
90	0.1388234786	0.9503091139
91	0.1388058378	0.9503230524
92	0.1387904992	0.9503466407
93	0.1387745847	0.9503391353
94	0.1387554622	0.9503423519
95	0.1387393455	0.9503498573
96	0.1387184494	0.9503498573
97	0.1387055659	0.9503498573
98	0.1386754198	0.9503627236
99	0.1386511918	0.9503627236
100	0.1386253199	0.950359507
101	0.1386113609	0.9503637958
102	0.1385911657	0.9503530739
103	0.1385745897	0.9503584349
104	0.138550891	0.9503616514
105	0.1385085704	0.9503830953
106	0.1384908043	0.9503959617
107	0.1384758624	0.9503873841
108	0.1384637846	0.9503959617
109	0.1384501508	0.9504120446
110	0.138440959	0.9504077558
111	0.1384285673	0.9504045392
112	0.1384161178	0.9504152612
113	0.1383961328	0.9504152612
114	0.1383859645	0.9504313441
115	0.1383664236	0.9504302719
116	0.1383487261	0.9504452827
117	0.1383267319	0.9504442105
118	0.13831252	0.9504452827
119	0.1382968397	0.9504399217
120	0.1382832696	0.9504334885
121	0.1382688861	0.9504377773
122	0.1382525949	0.9504399217
123	0.1382374895	0.9504431383
124	0.1382253094	0.9504367051
125	0.1382103707	0.950458149
126	0.1381962395	0.9504624378
127	0.1381836911	0.9504645822
128	0.1381643325	0.950458149
129	0.1381525344	0.9504753041
130	0.1381415222	0.9504774485
131	0.1381251531	0.9504903149
132	0.1381109951	0.9505192641
133	0.1380905568	0.950502109
134	0.1380792433	0.9504999646
135	0.1380657744	0.9505214085
136	0.1380528735	0.9505106866
137	0.1380384547	0.9505224807
138	0.1380199189	0.9505256973
139	0.1379921799	0.9505364193
140	0.1379806526	0.9505449968
141	0.1379661737	0.9505299861
142	0.137956314	0.9505353471
143	0.1379431804	0.9505417802
144	0.1379320142	0.9505578632
145	0.1379211346	0.9505707295
146	0.1379124764	0.9505760905
147	0.1378944422	0.9505632241
148	0.1378838195	0.9505578632
149	0.1378709784	0.9505610797
150	0.1378587428	0.9505546466
151	0.1378467144	0.9505803793
152	0.1378326067	0.9505803793
153	0.1378175421	0.9505750183
154	0.1378061096	0.9505835958
155	0.1377899303	0.9505868124
156	0.1377755644	0.9505911012
157	0.1377637905	0.950600751
158	0.1377506276	0.9505986066
159	0.1377390017	0.9506039676
160	0.1377305778	0.9506050397
161	0.1377145021	0.9505964622
162	0.1377023413	0.9506071841
163	0.1376868953	0.9506061119
164	0.1376732431	0.9506071841
165	0.1376647183	0.9506028954
166	0.1376513534	0.9506243393
167	0.1376378399	0.9506157617
168	0.1376281534	0.9506211227
169	0.137606724	0.9506221949
170	0.1375867854	0.9506146895
171	0.1375735246	0.9506254115
172	0.137559724	0.9506200505
173	0.1375506171	0.9506221949
174	0.1375432278	0.950633989
175	0.1375327489	0.9506307724
176	0.1375230022	0.9506318446
177	0.1375122618	0.9506254115
178	0.1374976815	0.9506318446
179	0.1374760422	0.9506318446
180	0.1374606922	0.9506436388
181	0.1374525092	0.9506468554
182	0.1374360476	0.9506382778
183	0.1374219137	0.95063935
184	0.1374098978	0.9506457832
185	0.1373978987	0.9506468554
186	0.1373885077	0.9506543607
187	0.137377522	0.9506693715
188	0.1373665301	0.9506854544
189	0.1373519026	0.9506822378
190	0.1373386409	0.95068331
191	0.1373279897	0.9506875988
192	0.1373159694	0.9506983207
193	0.1373068409	0.9507144037
194	0.1372937269	0.9507090427
195	0.1372833797	0.9507068983
196	0.1372669482	0.9507154759
197	0.1372585225	0.9507154759
198	0.1372483612	0.9507240534
199	0.1372319328	0.9507283422
200	0.1372218536	0.9507358476
201	0.1372155753	0.9507208368
202	0.1372001327	0.9507369198
203	0.1371877811	0.9507412085
204	0.1371753601	0.9507551471
205	0.1371610794	0.9507572915
206	0.1371524507	0.9507637246
207	0.1371438998	0.9507680134
208	0.1371356048	0.9507669412
209	0.1371271812	0.9507723022
210	0.137116969	0.9507680134
211	0.1371099749	0.9507680134
212	0.1371013545	0.9507723022
213	0.1370921387	0.9507733744
214	0.1370777036	0.950776591
215	0.1370664108	0.9507787354
216	0.1370561355	0.9507830241
217	0.1370427167	0.9507862407
218	0.1370325365	0.9507798076
219	0.1370243487	0.9507894573
220	0.1370114772	0.9507883851
221	0.1369931181	0.9507916017
222	0.1369794872	0.9507851685
223	0.1369712049	0.9507808798
224	0.1369612573	0.9507873129
225	0.1369490804	0.9507894573
226	0.1369419148	0.9507840963
227	0.1369267292	0.9507905295
228	0.1369137268	0.9507755188
229	0.1369034199	0.950765869
230	0.1368945374	0.95077123
231	0.1368824723	0.950776591
232	0.1368709456	0.9507755188
233	0.136862938	0.9507840963
234	0.1368559039	0.9507905295
235	0.1368468398	0.9507958905
236	0.1368387995	0.9507937461
237	0.1368295199	0.9507916017
238	0.1368194154	0.9507937461
239	0.1368119743	0.9508044681
240	0.1368016119	0.950809829
241	0.1367901862	0.950820551
242	0.1367797825	0.9508280563
243	0.1367698355	0.9508398505
244	0.1367608495	0.9508484281
245	0.1367511288	0.9508473559
246	0.1367438033	0.9508409227
247	0.1367349651	0.9508505724
248	0.1367282791	0.9508559334
249	0.1367183107	0.9508634388
250	0.1367101	0.9508634388
251	0.1367002943	0.950864511
252	0.136689388	0.950864511
253	0.136679247	0.9508677276
254	0.1366647431	0.9508720163
255	0.1366584132	0.9508773773
256	0.1366516747	0.9508880993
257	0.1366456421	0.9508923881
258	0.136636118	0.9508945324
259	0.1366282859	0.9508934603
260	0.136622425	0.9508902437
261	0.1366148253	0.9508709442
262	0.1366073182	0.9508709442
263	0.1366005494	0.9508816661
264	0.1365907644	0.9508838105
265	0.1365830911	0.9508741607
266	0.1365723468	0.9508795217
267	0.1365583716	0.9508859549
268	0.1365518135	0.9508827383
269	0.1365427618	0.9508848827
270	0.1365353873	0.9508913159
271	0.1365261227	0.9508923881
272	0.1365149922	0.9508945324
273	0.1365003212	0.9508870271
274	0.136486174	0.9508934603
275	0.1364770908	0.9508934603
276	0.1364703876	0.9508923881
277	0.1364574044	0.9508998934
278	0.136450208	0.9508988212
279	0.1364413233	0.9509009656
280	0.1364324837	0.9508998934
281	0.1364233045	0.950908471
282	0.1364141634	0.95090311
283	0.1364039674	0.9509009656
284	0.1363923579	0.95090311
285	0.1363813806	0.9509149042
286	0.1363730101	0.9509149042
287	0.1363634403	0.9509224095
288	0.1363599728	0.9509224095
289	0.1363468406	0.9509277705
290	0.1363374412	0.9509342037
291	0.1363310113	0.9509320593
292	0.1363172522	0.9509427812
293	0.1363108794	0.9509481422
294	0.1363044527	0.9509535032
295	0.1362963375	0.9509438534
296	0.1362870389	0.9509374203
297	0.1362711652	0.9509374203
298	0.13626414	0.9509374203
299	0.1362464697	0.9509320593
300	0.1362381486	0.9509309871
301	0.1362319634	0.9509695861
302	0.1362248485	0.9509728027
303	0.1362178187	0.9509803081
304	0.1362100116	0.9509717305
305	0.1361997664	0.9509738749
306	0.1361900752	0.9509770915
307	0.1361830767	0.9509738749
308	0.1361680989	0.9509642251
309	0.1361594052	0.9509717305
310	0.1361488187	0.9509878134
311	0.1361347363	0.951001752
312	0.1361252234	0.9510071129
313	0.1361163592	0.9510081851
314	0.1361068491	0.9510081851
315	0.136099794	0.9510135461
316	0.1360923169	0.9510081851
317	0.1360856481	0.9510092573
318	0.1360747403	0.9510210515
319	0.1360704889	0.9510135461
320	0.1360609024	0.9510167627
321	0.1360479448	0.9510253403
322	0.1360382679	0.951029629
323	0.1360299773	0.9510264125
324	0.1360206651	0.9510285568
325	0.1360142253	0.9510339178
326	0.1360061401	0.9510328456
327	0.1359945593	0.9510360622
328	0.1359848968	0.9510328456
329	0.1359745542	0.9510392788
330	0.1359679072	0.9510392788
331	0.135958186	0.9510264125
332	0.1359484971	0.9510253403
333	0.1359405408	0.9510274847
334	0.1359349257	0.9510285568
335	0.1359292306	0.9510274847
336	0.1359179562	0.9510339178
337	0.1359079924	0.95103499
338	0.1359020939	0.9510317734
339	0.1358954114	0.9510339178
340	0.1358889206	0.9510382066
341	0.1358780568	0.9510424954
342	0.1358690899	0.9510467842
343	0.1358640322	0.951045712
344	0.1358586893	0.9510500008
345	0.1358491968	0.9510478564
346	0.1358367562	0.9510521451
347	0.1358277185	0.9510628671
348	0.1358181555	0.9510693003
349	0.1358103162	0.9510746612
350	0.135803924	0.9510778778
351	0.1357978404	0.9510832388
352	0.1357917133	0.9510821666
353	0.1357852424	0.9510810944
354	0.1357780429	0.951089672
355	0.1357693459	0.951084311
356	0.1357587399	0.9510853832
357	0.135745481	0.9510939608
358	0.1357366526	0.951089672
359	0.1357285875	0.951089672
360	0.1357168524	0.951089672
361	0.1357060703	0.9510907442
362	0.1356955543	0.951089672
363	0.1356905638	0.9510961051
364	0.1356789942	0.9510875276
365	0.1356697	0.9510971773
366	0.1356581711	0.9510950329
367	0.1356495862	0.9511014661
368	0.1356407885	0.9511014661
369	0.1356314285	0.9511078993
370	0.1356231881	0.9511100437
371	0.1356139134	0.9511121881
372	0.1356051206	0.9511218378
373	0.1355959872	0.9511218378
374	0.1355859555	0.9511186212
375	0.1355744959	0.9511207656
376	0.1355605246	0.95112291
377	0.135552686	0.9511314876
378	0.1355429118	0.9511368486
379	0.1355344042	0.9511314876
380	0.1355252948	0.9511271988
381	0.1355170822	0.9511400651
382	0.1355113904	0.9511368486
383	0.1355001955	0.951133632
384	0.1354956822	0.951133632
385	0.1354904975	0.9511422095
386	0.1354837917	0.9511432817
387	0.1354729623	0.9511443539
388	0.135466793	0.9511454261
389	0.1354609774	0.9511615091
390	0.1354561712	0.9511625812
391	0.1354505197	0.9511690144
392	0.1354416214	0.9511700866
393	0.1354363674	0.951177592
394	0.1354299951	0.951172231
395	0.1354222885	0.9511647256
396	0.1354168089	0.9511657978
397	0.1354078228	0.9511647256
398	0.1353982373	0.95116687
399	0.1353934547	0.9511636534
400	0.1353866231	0.9511711588
401	0.135377264	0.9511765198
402	0.135370212	0.951172231
403	0.135363456	0.9511765198
404	0.1353549007	0.9511765198
