iter	Passed	Remaining
0	77	77109
1	140	70316
2	196	65156
3	253	63070
4	313	62291
5	371	61536
6	428	60759
7	480	59567
8	537	59211
9	590	58462
10	638	57371
11	691	56917
12	742	56350
13	795	56015
14	848	55727
15	899	55297
16	954	55182
17	1010	55113
18	1061	54803
19	1112	54534
20	1164	54311
21	1217	54107
22	1268	53894
23	1318	53621
24	1370	53436
25	1422	53302
26	1468	52929
27	1521	52830
28	1571	52633
29	1624	52517
30	1679	52498
31	1727	52256
32	1779	52138
33	1835	52159
34	1895	52254
35	1953	52308
36	2011	52348
37	2068	52359
38	2119	52228
39	2171	52125
40	2224	52036
41	2276	51926
42	2332	51910
43	2383	51796
44	2432	51617
45	2484	51524
46	2536	51429
47	2584	51268
48	2637	51196
49	2690	51122
50	2740	51000
51	2790	50877
52	2845	50836
53	2896	50750
54	2950	50691
55	3001	50590
56	3054	50525
57	3105	50436
58	3158	50374
59	3211	50312
60	3265	50273
61	3319	50225
62	3374	50196
63	3427	50127
64	3479	50044
65	3533	50006
66	3586	49946
67	3640	49896
68	3694	49845
69	3744	49747
70	3799	49714
71	3853	49662
72	3905	49600
73	3959	49546
74	4012	49490
75	4064	49414
76	4113	49303
77	4162	49206
78	4211	49104
79	4262	49013
80	4314	48947
81	4362	48834
82	4418	48818
83	4471	48758
84	4522	48686
85	4573	48604
86	4624	48535
87	4675	48458
88	4726	48381
89	4779	48323
90	4833	48284
91	4880	48170
92	4932	48109
93	4982	48019
94	5036	47975
95	5085	47891
96	5135	47811
97	5187	47748
98	5243	47724
99	5298	47688
100	5353	47650
101	5404	47579
102	5458	47540
103	5513	47500
104	5569	47476
105	5626	47455
106	5677	47379
107	5728	47311
108	5781	47257
109	5835	47213
110	5892	47195
111	5943	47124
112	5993	47046
113	6051	47028
114	6102	46961
115	6158	46933
116	6213	46890
117	6284	46970
118	6340	46942
119	6394	46896
120	6451	46869
121	6504	46808
122	6561	46781
123	6616	46739
124	6671	46703
125	6722	46632
126	6768	46529
127	6819	46459
128	6873	46407
129	6928	46367
130	6975	46272
131	7031	46234
132	7085	46192
133	7139	46139
134	7188	46061
135	7240	45998
136	7295	45957
137	7348	45904
138	7402	45852
139	7458	45815
140	7506	45729
141	7560	45682
142	7613	45630
143	7665	45565
144	7716	45500
145	7770	45449
146	7823	45398
147	7880	45364
148	7932	45308
149	7984	45243
150	8036	45182
151	8092	45149
152	8149	45113
153	8201	45052
154	8251	44986
155	8306	44937
156	8357	44873
157	8410	44822
158	8462	44758
159	8516	44710
160	8569	44654
161	8619	44588
162	8672	44530
163	8726	44483
164	8777	44420
165	8826	44343
166	8880	44296
167	8932	44239
168	8987	44190
169	9040	44138
170	9094	44090
171	9150	44048
172	9205	44007
173	9270	44008
174	9325	43961
175	9384	43934
176	9442	43903
177	9495	43849
178	9548	43796
179	9603	43748
180	9656	43692
181	9709	43641
182	9761	43579
183	9813	43520
184	9871	43486
185	9925	43438
186	9978	43382
187	10036	43347
188	10089	43294
189	10141	43234
190	10190	43163
191	10243	43109
192	10298	43062
193	10350	43001
194	10401	42939
195	10454	42884
196	10507	42828
197	10561	42780
198	10622	42754
199	10678	42715
200	10733	42665
201	10790	42628
202	10844	42577
203	10898	42524
204	10953	42476
205	11004	42415
206	11056	42356
207	11106	42290
208	11153	42213
209	11203	42147
210	11255	42087
211	11304	42019
212	11355	41957
213	11405	41892
214	11460	41843
215	11515	41795
216	11571	41755
217	11648	41785
218	11706	41747
219	11754	41676
220	11807	41619
221	11860	41564
222	11909	41497
223	11962	41441
224	12014	41383
225	12071	41341
226	12125	41292
227	12178	41236
228	12229	41174
229	12281	41117
230	12328	41041
231	12383	40992
232	12435	40935
233	12481	40858
234	12531	40794
235	12585	40744
236	12634	40674
237	12683	40609
238	12734	40547
239	12784	40485
240	12836	40427
241	12886	40364
242	12938	40306
243	12995	40265
244	13049	40213
245	13108	40179
246	13162	40126
247	13214	40068
248	13267	40015
249	13321	39964
250	13371	39900
251	13426	39852
252	13479	39797
253	13530	39739
254	13582	39681
255	13634	39624
256	13686	39569
257	13738	39512
258	13791	39457
259	13848	39413
260	13900	39357
261	13951	39297
262	14004	39244
263	14057	39189
264	14109	39132
265	14155	39061
266	14206	39002
267	14266	38967
268	14323	38924
269	14371	38857
270	14425	38805
271	14473	38738
272	14526	38682
273	14582	38638
274	14635	38584
275	14688	38531
276	14741	38475
277	14791	38414
278	14846	38367
279	14898	38311
280	14949	38251
281	15002	38198
282	15057	38148
283	15107	38088
284	15158	38028
285	15209	37971
286	15259	37909
287	15308	37844
288	15355	37777
289	15410	37729
290	15464	37676
291	15516	37621
292	15574	37581
293	15633	37540
294	15684	37483
295	15734	37421
296	15786	37366
297	15841	37317
298	15893	37261
299	15946	37209
300	15997	37150
301	16048	37091
302	16100	37035
303	16153	36983
304	16209	36936
305	16267	36893
306	16317	36834
307	16370	36781
308	16420	36721
309	16471	36662
310	16523	36606
311	16573	36547
312	16629	36500
313	16687	36458
314	16746	36416
315	16808	36383
316	16863	36333
317	16914	36276
318	16966	36219
319	17016	36159
320	17072	36113
321	17124	36056
322	17175	35998
323	17224	35938
324	17273	35874
325	17323	35815
326	17370	35751
327	17423	35697
328	17479	35649
329	17531	35594
330	17589	35550
331	17643	35499
332	17698	35449
333	17747	35389
334	17801	35336
335	17854	35283
336	17908	35231
337	17957	35171
338	18006	35109
339	18058	35054
340	18114	35007
341	18168	34955
342	18219	34899
343	18278	34856
344	18325	34791
345	18374	34731
346	18427	34676
347	18479	34622
348	18534	34572
349	18589	34522
350	18644	34474
351	18695	34417
352	18746	34358
353	18801	34310
354	18855	34258
355	18909	34206
356	18964	34157
357	19015	34101
358	19068	34047
359	19116	33985
360	19167	33928
361	19218	33871
362	19267	33810
363	19316	33749
364	19370	33699
365	19424	33647
366	19476	33593
367	19528	33537
368	19577	33477
369	19628	33421
370	19679	33365
371	19735	33316
372	19791	33268
373	19846	33219
374	19898	33164
375	19949	33107
376	20000	33051
377	20052	32996
378	20107	32945
379	20157	32887
380	20211	32837
381	20264	32784
382	20315	32726
383	20371	32679
384	20425	32628
385	20480	32578
386	20535	32527
387	20585	32470
388	20633	32408
389	20689	32360
390	20737	32299
391	20790	32246
392	20842	32192
393	20892	32133
394	20942	32076
395	20992	32018
396	21044	31964
397	21099	31914
398	21148	31854
399	21195	31793
400	21246	31737
401	21296	31679
402	21348	31624
403	21403	31575
404	21459	31526
